file_name,text
0.png,"{'data': {'values': [{'Hospital Admissions': 'A', 'Profit': 4}, {'Hospital Admissions': 'B', 'Profit': 95}, {'Hospital Admissions': 'C', 'Profit': 36}, {'Hospital Admissions': 'D', 'Profit': 32}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Hospital Admissions', 'type': 'nominal'}, 'y': {'field': 'Profit', 'type': 'quantitative'}}}"
1.png,"{'data': {'values': [{'Median Income': 'A', 'Cost': 95}, {'Median Income': 'B', 'Cost': 14}, {'Median Income': 'C', 'Cost': 87}, {'Median Income': 'D', 'Cost': 95}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Median Income', 'type': 'nominal'}, 'y': {'field': 'Cost', 'type': 'quantitative'}}}"
2.png,"{'data': {'values': [{'Retail Sales': 'A', 'Inflation': 76}, {'Retail Sales': 'B', 'Inflation': 55}, {'Retail Sales': 'C', 'Inflation': 5}, {'Retail Sales': 'D', 'Inflation': 4}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Retail Sales', 'type': 'nominal'}, 'y': {'field': 'Inflation', 'type': 'quantitative'}}}"
3.png,"{'data': {'values': [{'Inflation': 'A', 'Life Expectancy': 30}, {'Inflation': 'B', 'Life Expectancy': 65}, {'Inflation': 'C', 'Life Expectancy': 78}, {'Inflation': 'D', 'Life Expectancy': 4}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Inflation', 'type': 'nominal'}, 'y': {'field': 'Life Expectancy', 'type': 'quantitative'}}}"
4.png,"{'data': {'values': [{'Consumer Price Index': 'A', 'Employment Rate': 92}, {'Consumer Price Index': 'B', 'Employment Rate': 84}, {'Consumer Price Index': 'C', 'Employment Rate': 90}, {'Consumer Price Index': 'D', 'Employment Rate': 70}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Consumer Price Index', 'type': 'nominal'}, 'y': {'field': 'Employment Rate', 'type': 'quantitative'}}}"
5.png,"{'data': {'values': [{'Quality Of Life': 'A', 'Median Income': 58}, {'Quality Of Life': 'B', 'Median Income': 76}, {'Quality Of Life': 'C', 'Median Income': 36}, {'Quality Of Life': 'D', 'Median Income': 1}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Quality Of Life', 'type': 'nominal'}, 'y': {'field': 'Median Income', 'type': 'quantitative'}}}"
6.png,"{'data': {'values': [{'Software Updates': 'A', 'Growth Rate': 90}, {'Software Updates': 'B', 'Growth Rate': 55}, {'Software Updates': 'C', 'Growth Rate': 44}, {'Software Updates': 'D', 'Growth Rate': 36}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Software Updates', 'type': 'nominal'}, 'y': {'field': 'Growth Rate', 'type': 'quantitative'}}}"
7.png,"{'data': {'values': [{'Return Rate': 'A', 'Life Expectancy': 98}, {'Return Rate': 'B', 'Life Expectancy': 44}, {'Return Rate': 'C', 'Life Expectancy': 14}, {'Return Rate': 'D', 'Life Expectancy': 12}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Return Rate', 'type': 'nominal'}, 'y': {'field': 'Life Expectancy', 'type': 'quantitative'}}}"
8.png,"{'data': {'values': [{'Water Usage': 'A', 'Unemployment': 46}, {'Water Usage': 'B', 'Unemployment': 45}, {'Water Usage': 'C', 'Unemployment': 78}, {'Water Usage': 'D', 'Unemployment': 34}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Water Usage', 'type': 'nominal'}, 'y': {'field': 'Unemployment', 'type': 'quantitative'}}}"
9.png,"{'data': {'values': [{'Pressure': 'A', 'Internet Usage': 59}, {'Pressure': 'B', 'Internet Usage': 69}, {'Pressure': 'C', 'Internet Usage': 16}, {'Pressure': 'D', 'Internet Usage': 49}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Pressure', 'type': 'nominal'}, 'y': {'field': 'Internet Usage', 'type': 'quantitative'}}}"
10.png,"{'data': {'values': [{'GDP': 'A', 'Wholesale Price': 38}, {'GDP': 'B', 'Wholesale Price': 81}, {'GDP': 'C', 'Wholesale Price': 80}, {'GDP': 'D', 'Wholesale Price': 47}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'GDP', 'type': 'nominal'}, 'y': {'field': 'Wholesale Price', 'type': 'quantitative'}}}"
11.png,"{'data': {'values': [{'Job Vacancies': 'A', 'Literacy Rate': 91}, {'Job Vacancies': 'B', 'Literacy Rate': 9}, {'Job Vacancies': 'C', 'Literacy Rate': 6}, {'Job Vacancies': 'D', 'Literacy Rate': 85}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Job Vacancies', 'type': 'nominal'}, 'y': {'field': 'Literacy Rate', 'type': 'quantitative'}}}"
12.png,"{'data': {'values': [{'Mean Income': 'A', 'Bug Reports': 38}, {'Mean Income': 'B', 'Bug Reports': 11}, {'Mean Income': 'C', 'Bug Reports': 30}, {'Mean Income': 'D', 'Bug Reports': 13}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Mean Income', 'type': 'nominal'}, 'y': {'field': 'Bug Reports', 'type': 'quantitative'}}}"
13.png,"{'data': {'values': [{'Water Usage': 'A', 'Skewness': 59}, {'Water Usage': 'B', 'Skewness': 82}, {'Water Usage': 'C', 'Skewness': 47}, {'Water Usage': 'D', 'Skewness': 21}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Water Usage', 'type': 'nominal'}, 'y': {'field': 'Skewness', 'type': 'quantitative'}}}"
14.png,"{'data': {'values': [{'Energy Consumption': 'A', 'Pollution Level': 27}, {'Energy Consumption': 'B', 'Pollution Level': 86}, {'Energy Consumption': 'C', 'Pollution Level': 35}, {'Energy Consumption': 'D', 'Pollution Level': 90}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Energy Consumption', 'type': 'nominal'}, 'y': {'field': 'Pollution Level', 'type': 'quantitative'}}}"
