file_name,text
0.png,<mark>line</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>Export quantity</field></y>
1.png,<mark>bar</mark><x><type>nominal</type><field>Merchandise Trading</field></x><y><type>quantitative</type><field>Trade with economies of Latin America & Caribbean(%)</field></y>
2.png,<mark>line</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Rating index(maximum value in 2004 = 100)</field></y>
3.png,<mark>bar</mark><x><type>quantitative</type><field>Amount of imports(as % of merchandise imports)</field></x><y><type>nominal</type><field>Goods imported</field></y>
4.png,<mark>bar</mark><x><type>quantitative</type><field>Active population (% of total population)</field></x><y><type>nominal</type><field>Country</field></y>
5.png,<mark>bar</mark><x><type>quantitative</type><field>Prive value of exports (constant LCU)</field></x><y><type>quantitative</type><field>Years</field></y>
6.png,<mark>line</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>IMF credit(in current US$)</field></y>
7.png,<mark>bar</mark><x><type>quantitative</type><field>Emissions(metric tons per capita)</field></x><y><type>quantitative</type><field>Year</field></y>
8.png,<mark>bar</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>% of reported infant deaths to estimated infant deaths</field></y>
9.png,<mark>bar</mark><x><type>quantitative</type><field>Emissions(kt)</field></x><y><type>nominal</type><field>Fuel</field></y>
10.png,<mark>point</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>Labor Force (as % of population)</field></y>
11.png,<mark>bar</mark><x><type>quantitative</type><field>Population(% of cohort)</field></x><y><type>quantitative</type><field>Years</field></y>
12.png,<mark>bar</mark><x><type>nominal</type><field>Country</field></x><y><type>quantitative</type><field>% of population</field></y>
13.png,<mark>line</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Population growth (in %)</field></y>
14.png,<mark>bar</mark><x><type>nominal</type><field>Country</field></x><y><type>quantitative</type><field>Amount of goods traded (in US$)</field></y>
15.png,<mark>bar</mark><x><type>quantitative</type><field>Tuberculosis incidents (per 100000 people)</field></x><y><type>quantitative</type><field>Year</field></y>
16.png,<mark>line</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>Exports (in Local Currency Unit)</field></y>
17.png,<mark>point</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Number of people died (as % of total)</field></y>
18.png,<mark>bar</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>General Parity Index (GPI)</field></y>
19.png,<mark>bar</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Amount of stocks(% of population)</field></y>
20.png,<mark>bar</mark><x><type>quantitative</type><field>Value added (constant 2005 US$)</field></x><y><type>nominal</type><field>Country</field></y>
21.png,<mark>bar</mark><x><type>quantitative</type><field>Population (% of total population) </field></x><y><type>quantitative</type><field>Year</field></y>
22.png,<mark>bar</mark><x><type>quantitative</type><field>Value added (current US$)</field></x><y><type>nominal</type><field>Different sectors</field></y>
23.png,<mark>line</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>Population growth (in %)</field></y>
24.png,<mark>bar</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>Net Disbursements (current US$)</field></y>
25.png,<mark>point</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Income from abroad</field></y>
26.png,<mark>bar</mark><x><type>quantitative</type><field>Calories (kilocalories per person per day)</field></x><y><type>nominal</type><field>Country</field></y>
27.png,<mark>line</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field> % of children under 5</field></y>
28.png,<mark>bar</mark><x><type>nominal</type><field>Country</field></x><y><type>quantitative</type><field>Consumption of fixed capital (as % of GNI)</field></y>
29.png,<mark>bar</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>% of reported infant deaths to estimated infant deaths</field></y>
30.png,<mark>bar</mark><x><type>quantitative</type><field>Clean energy produced (as % of total energy)</field></x><y><type>quantitative</type><field>Year</field></y>
31.png,<mark>point</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Average number of days</field></y>
32.png,<mark>bar</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Unemployed females (as % of female labor force ages 15-24)</field></y>
33.png,<mark>bar</mark><x><type>quantitative</type><field>Emissions(kt)</field></x><y><type>nominal</type><field>Fuel</field></y>
34.png,<mark>bar</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>% of population</field></y>
35.png,<mark>point</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Aid flow (current US$)</field></y>
36.png,<mark>line</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Unemployed Males (% of male labor force)</field></y>
37.png,<mark>bar</mark><x><type>quantitative</type><field>Income share held (as % of total income)</field></x><y><type>nominal</type><field>Categories</field></y>
