file_name,text
0.png,"{'data': {'values': [{'Profit': 0, 'Weight': 32}, {'Profit': 1, 'Weight': 29}, {'Profit': 2, 'Weight': 18}, {'Profit': 3, 'Weight': 95}, {'Profit': 4, 'Weight': 14}]}, 'mark': 'circle', 'encoding': {'x': {'field': 'Profit', 'type': 'quantitative'}, 'y': {'field': 'Weight', 'type': 'quantitative'}}}"
1.png,"{'data': {'values': [{'Social Media Activity': 0, 'Retail Sales': 76}, {'Social Media Activity': 1, 'Retail Sales': 55}]}, 'mark': 'circle', 'encoding': {'x': {'field': 'Social Media Activity', 'type': 'quantitative'}, 'y': {'field': 'Retail Sales', 'type': 'quantitative'}}}"
2.png,"{'data': {'values': [{'Weight': 0, 'Inflation': 30}, {'Weight': 1, 'Inflation': 65}, {'Weight': 2, 'Inflation': 78}, {'Weight': 3, 'Inflation': 4}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Weight', 'type': 'ordinal'}, 'y': {'field': 'Inflation', 'type': 'quantitative'}}}"
3.png,"{'data': {'values': [{'Employment Rate': 0, 'Sleep Duration': 54}, {'Employment Rate': 1, 'Sleep Duration': 29}, {'Employment Rate': 2, 'Sleep Duration': 58}, {'Employment Rate': 3, 'Sleep Duration': 76}, {'Employment Rate': 4, 'Sleep Duration': 36}, {'Employment Rate': 5, 'Sleep Duration': 1}, {'Employment Rate': 6, 'Sleep Duration': 98}, {'Employment Rate': 7, 'Sleep Duration': 21}, {'Employment Rate': 8, 'Sleep Duration': 90}]}, 'mark': 'circle', 'encoding': {'x': {'field': 'Employment Rate', 'type': 'quantitative'}, 'y': {'field': 'Sleep Duration', 'type': 'quantitative'}}}"
4.png,"{'data': {'values': [{'Happiness Index': 0, 'Skewness': 28}, {'Happiness Index': 1, 'Skewness': 98}, {'Happiness Index': 2, 'Skewness': 44}]}, 'mark': 'line', 'encoding': {'x': {'field': 'Happiness Index', 'type': 'temporal'}, 'y': {'field': 'Skewness', 'type': 'quantitative'}}}"
5.png,"{'data': {'values': [{'Inflation': 0, 'Water Usage': 46}, {'Inflation': 1, 'Water Usage': 45}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Inflation', 'type': 'ordinal'}, 'y': {'field': 'Water Usage', 'type': 'quantitative'}}}"
6.png,"{'data': {'values': [{'Range': 0, 'Pressure': 69}, {'Range': 1, 'Pressure': 16}, {'Range': 2, 'Pressure': 49}, {'Range': 3, 'Pressure': 11}, {'Range': 4, 'Pressure': 71}, {'Range': 5, 'Pressure': 38}, {'Range': 6, 'Pressure': 81}, {'Range': 7, 'Pressure': 80}]}, 'mark': 'circle', 'encoding': {'x': {'field': 'Range', 'type': 'quantitative'}, 'y': {'field': 'Pressure', 'type': 'quantitative'}}}"
7.png,"{'data': {'values': [{'Job Vacancies': 0, 'Literacy Rate': 6}, {'Job Vacancies': 1, 'Literacy Rate': 85}]}, 'mark': 'line', 'encoding': {'x': {'field': 'Job Vacancies', 'type': 'temporal'}, 'y': {'field': 'Literacy Rate', 'type': 'quantitative'}}}"
8.png,"{'data': {'values': [{'Bug Reports': 0, 'Median Age': 30}, {'Bug Reports': 1, 'Median Age': 13}]}, 'mark': 'bar', 'encoding': {'x': {'field': 'Bug Reports', 'type': 'ordinal'}, 'y': {'field': 'Median Age', 'type': 'quantitative'}}}"
9.png,"{'data': {'values': [{'Skewness': 0, 'Debt Level': 21}, {'Skewness': 1, 'Debt Level': 48}, {'Skewness': 2, 'Debt Level': 46}, {'Skewness': 3, 'Debt Level': 27}, {'Skewness': 4, 'Debt Level': 86}, {'Skewness': 5, 'Debt Level': 35}]}, 'mark': 'line', 'encoding': {'x': {'field': 'Skewness', 'type': 'temporal'}, 'y': {'field': 'Debt Level', 'type': 'quantitative'}}}"
