file_name,text
0.png,<mark>bar</mark><x><type>quantitative</type><field>Mortality Rate (per 1000 live birth or children)</field></x><y><type>nominal</type><field>Age-group</field></y>
1.png,<mark>bar</mark><x><type>quantitative</type><field>Rating (1=low 6=high)</field></x><y><type>nominal</type><field>Country</field></y>
2.png,<mark>line</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Full-time workers(% of total employed)</field></y>
3.png,<mark>bar</mark><x><type>nominal</type><field>Country</field></x><y><type>quantitative</type><field>Payments (BoP current US$)</field></y>
4.png,<mark>bar</mark><x><type>quantitative</type><field>Amount spent (in US$)</field></x><y><type>quantitative</type><field>Years</field></y>
5.png,<mark>bar</mark><x><type>nominal</type><field>Marital abuse reasons</field></x><y><type>quantitative</type><field>% of women justifying domestic violence</field></y>
6.png,<mark>bar</mark><x><type>nominal</type><field>Level of education</field></x><y><type>quantitative</type><field>Unemployed and educated male labor force (% of population)</field></y>
7.png,<mark>bar</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>% of total freshwater withdrawal</field></y>
8.png,<mark>bar</mark><x><type>nominal</type><field>Exports and external balance on goods</field></x><y><type>quantitative</type><field>% of GDP</field></y>
9.png,<mark>bar</mark><x><type>quantitative</type><field>Exports (% of total merchandise exports)</field></x><y><type>quantitative</type><field>Year</field></y>
10.png,<mark>point</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>Prive value of exports (constant LCU)</field></y>
11.png,<mark>bar</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Number of days</field></y>
12.png,<mark>line</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>Expenditure(as % of GDP)</field></y>
13.png,<mark>bar</mark><x><type>nominal</type><field>Gender</field></x><y><type>quantitative</type><field>Life expectancy(years)</field></y>
14.png,<mark>line</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Cost of communications computer etc. (% of service imports)</field></y>
15.png,<mark>bar</mark><x><type>quantitative</type><field>Year</field></x><y><type>quantitative</type><field>Amount (in current US$)</field></y>
16.png,<mark>bar</mark><x><type>quantitative</type><field>Years</field></x><y><type>quantitative</type><field>Value added (current US$)</field></y>
