2024-09-27 00:58:53,069 INFO    MainThread:1553568 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_setup.py:_flush():76] Configure stats pid to 1553568
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_setup.py:_flush():76] Loading settings from /home/msinnona/.config/wandb/settings
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_setup.py:_flush():76] Loading settings from /mnt/disk2/msinnona/visdecode/eurographics/wandb/settings
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'eurographics/trainer.py', 'program_abspath': '/mnt/disk2/msinnona/visdecode/eurographics/trainer.py', 'program': '/mnt/disk2/msinnona/visdecode/eurographics/trainer.py'}
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_init.py:_log_setup():526] Logging user logs to /mnt/disk2/msinnona/visdecode/eurographics/wandb/run-20240927_005853-f2lvbs6q/logs/debug.log
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_init.py:_log_setup():527] Logging internal logs to /mnt/disk2/msinnona/visdecode/eurographics/wandb/run-20240927_005853-f2lvbs6q/logs/debug-internal.log
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_init.py:init():566] calling init triggers
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_init.py:init():616] starting backend
2024-09-27 00:58:53,070 INFO    MainThread:1553568 [wandb_init.py:init():620] setting up manager
2024-09-27 00:58:53,074 INFO    MainThread:1553568 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-27 00:58:53,075 INFO    MainThread:1553568 [wandb_init.py:init():628] backend started and connected
2024-09-27 00:58:53,081 INFO    MainThread:1553568 [wandb_init.py:init():720] updated telemetry
2024-09-27 00:58:53,085 INFO    MainThread:1553568 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-09-27 00:58:53,505 INFO    MainThread:1553568 [wandb_run.py:_on_init():2262] communicating current version
2024-09-27 00:58:53,571 INFO    MainThread:1553568 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.18.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-09-27 00:58:53,571 INFO    MainThread:1553568 [wandb_init.py:init():804] starting run threads in backend
2024-09-27 00:58:57,713 INFO    MainThread:1553568 [wandb_run.py:_console_start():2241] atexit reg
2024-09-27 00:58:57,713 INFO    MainThread:1553568 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-09-27 00:58:57,713 INFO    MainThread:1553568 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-09-27 00:58:57,713 INFO    MainThread:1553568 [wandb_run.py:_redirect():2186] Redirects installed.
2024-09-27 00:58:57,714 INFO    MainThread:1553568 [wandb_init.py:init():847] run started, returning control to user process
2024-09-27 04:40:34,286 INFO    MainThread:1553568 [wandb_run.py:_finish():1970] finishing run martinsinnona/visdecode/f2lvbs6q
2024-09-27 04:40:34,286 INFO    MainThread:1553568 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-09-27 04:40:34,287 INFO    MainThread:1553568 [wandb_run.py:_restore():2193] restore
2024-09-27 04:40:34,287 INFO    MainThread:1553568 [wandb_run.py:_restore():2199] restore done
2024-09-27 04:40:40,829 INFO    MainThread:1553568 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-09-27 04:40:40,829 INFO    MainThread:1553568 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-09-27 04:40:40,835 INFO    MainThread:1553568 [wandb_run.py:_footer_sync_info():3825] logging synced files
