file_name,text
0.png,<mark>point</mark><x><type>quantitative</type><field>culmen_length_mm</field></x><y><type>quantitative</type><field>body_mass_g</field></y>
1.png,<mark>line</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Youth unemployment rate</field></y>
2.png,<mark>bar</mark><x><type>nominal</type><field></field></x><y><type>quantitative</type><field></field></y>
3.png,<mark>point</mark><x><type>quantitative</type><field></field></x><y><type>quantitative</type><field></field></y>
4.png,<mark>point</mark><x><type>quantitative</type><field></field></x><y><type>quantitative</type><field></field></y>
5.png,<mark>line</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Inhabitants in millions</field></y>
6.png,<mark>bar</mark><x><type>nominal</type><field></field></x><y><type>quantitative</type><field>Life expectancy in years</field></y>
7.png,<mark>bar</mark><x><type>nominal</type><field></field></x><y><type>quantitative</type><field>Percentage of votes</field></y>
8.png,<mark>line</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Average daily rate in U.S. dollars</field></y>
9.png,<mark>bar</mark><x><type>nominal</type><field></field></x><y><type>quantitative</type><field>Gross profit margin</field></y>
10.png,<mark>bar</mark><x><type>ordinal</type><field></field></x><y><type>quantitative</type><field>Amount of daily sent messages in billions</field></y>
11.png,<mark>bar</mark><x><type>nominal</type><field></field></x><y><type>quantitative</type><field></field></y>
12.png,<mark>bar</mark><x><type>nominal</type><field></field></x><y><type>quantitative</type><field></field></y>
13.png,<mark>point</mark><x><type>quantitative</type><field></field></x><y><type>quantitative</type><field></field></y>
14.png,<mark>bar</mark><x><type>temporal</type></x><y><type>quantitative</type><field>Ticket price in U.S. dollars</field></y>
15.png,<mark>bar</mark><x><type>ordinal</type><field></field></x><y><type>quantitative</type><field>Revenue in billions U.S. dollars</field></y>
16.png,<mark>bar</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Number of users in millions</field></y>
17.png,<mark>bar</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Number of vehicles in thousands</field></y>
18.png,<mark>bar</mark><x><type>nominal</type><field></field></x><y><type>quantitative</type><field>Number of retail stores</field></y>
19.png,<mark>point</mark><x><type>temporal</type><field>Time (minutes) with Doctor in Outpatient Clinic Consultation</field></x><y><type>quantitative</type><field>Outpatient Satisfaction</field></y>
20.png,<mark>line</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Number of fatalities</field></y>
21.png,<mark>line</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Inflation rate compared to previous year</field></y>
22.png,<mark>line</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Unemployment rate</field></y>
23.png,<mark>line</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Unemployment rate</field></y>
24.png,<mark>line</mark><x><type>ordinal</type><field></field></x><y><type>quantitative</type><field>Quarterly revenue in million U.S. dollars</field></y>
25.png,<mark>line</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field>Average annual wages in euros</field></y>
26.png,<mark>bar</mark><x><type>nominal</type><field></field></x><y><type>quantitative</type><field>Number of nominations</field></y>
27.png,<mark>point</mark><x><type>quantitative</type><field>Weight (lbs.)</field></x><y><type>quantitative</type><field>Mileage (mpg)</field></y>
28.png,<mark>point</mark><x><type>quantitative</type><field>total_bill</field></x><y><type>quantitative</type><field>tip</field></y>
29.png,<mark>point</mark><x><type>quantitative</type><field>hopkins$day</field></x><y><type>quantitative</type><field>hopkins$wind</field></y>
30.png,<mark>point</mark><x><type>quantitative</type><field></field></x><y><type>quantitative</type><field></field></y>
31.png,<mark>point</mark><x><type>quantitative</type><field>length</field></x><y><type>quantitative</type><field>success</field></y>
32.png,<mark>line</mark><x><type>temporal</type><field>Time</field></x><y><type>quantitative</type><field>Temperature °C</field></y>
33.png,<mark>line</mark><x><type>temporal</type><field></field></x><y><type>quantitative</type><field></field></y>
34.png,<mark>line</mark><x><type>quantitative</type><field></field></x><y><type>quantitative</type><field></field></y>
35.png,<mark>line</mark><x><type>ordinal</type><field></field></x><y><type>quantitative</type><field>Average Monthly Temperature</field></y>
36.png,<mark>line</mark><x><type>quantitative</type><field></field></x><y><type>quantitative</type><field></field></y>
